cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,sched_latency_ns,sched_migration_cost_ns,sched_wakeup_granularity_ns,sched_min_granularity_ns,sched_child_runs_first,sched_autogroup_enabled,sched_rr_timeslice_ms,swappiness,dirty_ratio,dirty_background_ratio,dirty_expire_centisecs,dirty_writeback_centisecs,min_free_kbytes,overcommit_memory,overcommit_ratio,vfs_cache_pressure,somaxconn,tcp_fin_timeout,tcp_tw_reuse,tcp_syncookies,tcp_max_syn_backlog,tcp_rmem_min,tcp_rmem_default,tcp_rmem_max,tcp_wmem_min,tcp_wmem_default,tcp_wmem_max,workload_type,exec_time,cpu_avg,perf_score
9.2,7.33056640625,4.71826171875,3.7685546875,0.0,2.0,30.0,31.41,472735358976,447896203264,21646589952,5.3,0,0,0.0,64722948624384,215943396479488,127105124,114511067,cubic,2025-07-19 15:37:26,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.19,8.6,0.08
8.6,6.9833984375,4.689453125,3.76416015625,0.0,2.0,30.0,31.38,472735358976,447906357248,21636227072,5.3,0,0,0.0,64722976874496,215943396532736,127114344,114519677,cubic,2025-07-19 15:37:31,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.19,8.6,0.08
9.9,6.744140625,4.677734375,3.765625,0.0,2.0,30.0,31.37,472735358976,447903338496,21639430144,5.3,0,0,0.0,64722999279616,215943397499392,127137531,114541410,cubic,2025-07-19 15:37:36,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.12,10.23,0.09
10.1,6.36376953125,4.6328125,3.755859375,0.0,2.0,30.0,31.47,472735358976,447902949376,21639401472,5.3,0,0,0.0,64723013959680,215943398003200,127146316,114549757,cubic,2025-07-19 15:37:41,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.12,10.23,0.09
10.7,6.01416015625,4.5888671875,3.74609375,0.0,2.0,30.0,31.52,472735358976,447891927040,21650898944,5.3,0,0,0.0,64723025735680,215943398330880,127155813,114559140,cubic,2025-07-19 15:37:45,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.12,10.23,0.09
8.8,5.6923828125,4.54541015625,3.736328125,0.0,2.0,30.0,31.46,472735358976,447891730432,21650948096,5.3,0,0,0.0,64723047882752,215943399694848,127178584,114580113,cubic,2025-07-19 15:37:51,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.49,5.2,0.07
3.4,5.396484375,4.5029296875,3.7265625,0.0,2.0,30.0,31.5,472735358976,447892930560,21649100800,5.3,0,0,0.0,64723066101760,215943399760384,127188574,114589139,cubic,2025-07-19 15:37:56,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.49,5.2,0.07
3.4,5.0439453125,4.4443359375,3.7119140625,0.0,2.0,30.0,31.52,472735358976,447895801856,21646958592,5.3,0,0,0.0,64723081568256,215943400161792,127198092,114597743,cubic,2025-07-19 15:38:00,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.49,5.2,0.07
10.7,4.7197265625,4.38671875,3.697265625,0.0,2.0,30.0,31.52,472735358976,447890112512,21651156992,5.3,0,0,0.0,64723106734080,215943400530432,127220711,114616996,cubic,2025-07-19 15:38:05,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.22,10.0,0.09
9.9,4.50146484375,4.3466796875,3.68798828125,0.0,2.0,30.0,31.51,472735358976,447897018368,21645754368,5.3,0,0,0.0,64723116802048,215943401169408,127230310,114625689,cubic,2025-07-19 15:38:10,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.22,10.0,0.09
