cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,workload_type,kernel_sched_latency_ns,kernel_sched_migration_cost_ns,vm_swappiness,vm_dirty_ratio,vm_dirty_expire_centisecs,tcp_rmem_min,tcp_rmem_default,tcp_rmem_max
11.0,5.29736328125,4.6240234375,4.55419921875,0.0,2.0,32.0,28.07,472735358976,414840725504,54716596224,12.2,0,0,0.0,64550758854656,215044360624640,143291218,293362064,cubic,2025-07-17 16:57:22,0,cpu_bound,6000000,500000,10,5,300,4096,65536,4194304
12.0,5.193359375,4.61328125,4.55078125,0.0,2.0,32.0,27.96,472735358976,414868692992,54688657408,12.2,0,0,0.0,64550758854656,215044360628736,143317091,293382707,cubic,2025-07-17 16:57:25,0,cpu_bound,6000000,500000,10,5,300,4096,65536,4194304
10.4,5.193359375,4.61328125,4.55078125,0.0,2.0,32.0,27.99,472735358976,414866944000,54689947648,12.2,0,0,0.0,64550758854656,215044360907264,143325433,293389739,cubic,2025-07-17 16:57:29,0,cpu_bound,6000000,500000,10,5,300,4096,65536,4194304
10.9,4.92919921875,4.576171875,4.53857421875,0.0,2.0,32.0,28.05,472735358976,414837272576,54719610880,12.2,0,0,0.0,64550758854656,215044361742848,143350567,293412361,cubic,2025-07-17 16:57:36,0,cpu_bound,6000000,500000,10,5,500,4096,87380,6291456
10.4,4.7744140625,4.5498046875,4.5302734375,0.0,2.0,32.0,28.12,472735358976,414799511552,54758158336,12.3,0,0,0.0,64550758854656,215044361775616,143384733,293445519,cubic,2025-07-17 16:57:40,0,cpu_bound,6000000,500000,10,5,500,4096,87380,6291456
10.2,4.7744140625,4.5498046875,4.5302734375,0.0,2.0,32.0,28.03,472735358976,414848565248,54708436992,12.2,0,0,0.0,64550758854656,215044362603008,143398571,293456791,cubic,2025-07-17 16:57:43,0,cpu_bound,6000000,500000,10,5,500,4096,87380,6291456
7.4,4.49462890625,4.498046875,4.513671875,0.0,2.0,32.0,28.08,472735358976,414844243968,54712860672,12.2,0,0,0.0,64550758854656,215044363282944,143458678,293512730,cubic,2025-07-17 16:57:51,0,cpu_bound,6000000,500000,10,5,500,4096,65536,4194304
15.9,4.29443359375,4.45654296875,4.5,0.0,2.0,32.0,28.13,472735358976,414796668928,54760214528,12.3,0,0,0.0,64550758854656,215044363332096,143498696,293548460,cubic,2025-07-17 16:57:55,0,cpu_bound,6000000,500000,10,5,500,4096,65536,4194304
6.1,4.29443359375,4.45654296875,4.5,0.0,2.0,32.0,28.1,472735358976,414798753792,54758305792,12.3,0,0,0.0,64550758854656,215044363917824,143525085,293576205,cubic,2025-07-17 16:57:58,0,cpu_bound,6000000,500000,10,5,500,4096,65536,4194304
10.9,4.0947265625,4.408203125,4.4833984375,0.0,2.0,32.0,28.12,472735358976,414803406848,54753636352,12.3,0,0,0.0,64550758854656,215044364204544,143558279,293603745,cubic,2025-07-17 16:58:06,0,cpu_bound,6000000,500000,10,10,300,4096,87380,6291456
